Country,Movie Count
US,11463
IN,1600
GB,1381
CA,811
FR,669
DE,428
JP,391
KR,291
ES,281
CN,273
IT,264
AU,224
MX,178
HK,158
XX,156
BE,128
PH,102
BR,99
ZA,93
NG,92
SE,91
AR,88
IE,80
DK,74
NL,71
TR,70
ID,70
PL,63
NO,59
NZ,55
RU,52
EG,51
CH,50
IL,46
CZ,46
TW,45
TH,43
LB,36
CO,35
CL,35
AT,32
RO,28
AE,28
MY,27
LU,24
PS,24
SU,19
FI,19
IR,19
HU,18
GR,17
SK,17
VN,17
IS,16
UA,16
QA,16
SG,15
PR,13
PE,13
VE,12
BG,12
UY,12
MA,12
AF,11
PT,10
DO,10
PK,9
YU,8
RS,8
CU,7
SA,7
KE,6
JO,6
KW,6
XC,5
BO,5
TN,5
MT,5
BD,5
GE,5
KH,5
EE,5
SN,5
SI,4
LT,4
PA,4
AL,4
CY,4
SY,4
GH,4
TZ,4
CI,3
MC,3
BA,3
KZ,3
MN,3
XK,3
HR,3
PY,3
CM,3
DZ,3
GT,3
LI,2
JM,2
FJ,2
UG,2
TT,2
LV,2
CR,2
EC,2
AO,2
ZW,2
BS,2
CD,2
IQ,2
AN,1
SZ,1
TC,1
GQ,1
SO,1
SV,1
AQ,1
BM,1
ET,1
PF,1
AM,1
LY,1
SUHH,1
KI,1
BW,1
XG,1
RW,1
CS,1
MK,1
BY,1
BF,1
GL,1
VA,1
NP,1
KG,1
BT,1
MW,1
LK,1
MU,1
NA,1
FO,1
IO,0
KN,0
