Country,Show Count
US,3716
KR,980
JP,630
GB,610
CN,400
CA,233
AU,132
ES,121
FR,113
TW,106
IN,85
MX,79
BR,71
DE,70
IT,40
AR,37
TH,35
CO,33
TR,24
SG,24
IL,19
BE,18
ZA,16
DK,16
RU,16
PL,16
XX,13
SE,13
NZ,13
NO,13
IE,12
PH,11
NL,11
CL,9
CZ,8
EG,7
SA,7
RO,6
NG,6
LB,6
HK,5
HU,5
PT,5
MY,5
IO,5
FI,4
AT,4
ID,4
CH,3
LU,3
IS,3
KW,3
PR,2
AE,2
UY,2
HR,2
JO,2
UA,1
TN,1
KE,1
MA,1
PE,1
SY,1
SN,1
BY,1
KN,1
SU,0
GR,0
YU,0
CI,0
LI,0
XC,0
AN,0
MC,0
SK,0
VE,0
SI,0
BA,0
AF,0
IR,0
BG,0
JM,0
RS,0
SZ,0
LT,0
TC,0
BO,0
QA,0
KZ,0
GQ,0
MT,0
SO,0
VN,0
BD,0
FJ,0
MN,0
UG,0
TT,0
PK,0
XK,0
DO,0
SV,0
GE,0
PS,0
LV,0
AQ,0
KH,0
CR,0
BM,0
PA,0
AL,0
CY,0
CU,0
PY,0
EE,0
ET,0
PF,0
EC,0
AM,0
CM,0
LY,0
SUHH,0
KI,0
BW,0
XG,0
DZ,0
AO,0
RW,0
GT,0
ZW,0
CS,0
MK,0
GH,0
BF,0
BS,0
CD,0
GL,0
IQ,0
VA,0
TZ,0
NP,0
KG,0
BT,0
MW,0
LK,0
MU,0
NA,0
FO,0
